,VTTS ($/min),WTP ($),city_ID,city_name,cost_delta ($),cost_uam ($),dist_range,distance,inc_range,income,mode,purpose,trip_cost_m ($),trip_time_m (min),trip_time_saved (min),trip_time_uam (min),uam_pax_trips,uam_pkt,uam_ticket_cost,uam_utilization,uam_vehicle_trips,vertiport_density
59,1.625,-1032.6660583199582,3.0,Moscow,-1090.187794048642,57.52173572868385,[110. 154.],132.0,[156000. 182000.],169000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
60,1.625,-979.3536812117954,3.0,Moscow,-1053.7604169404792,74.40673572868386,[154. 198.],176.0,[156000. 182000.],169000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
61,1.625,-922.4881056786694,3.0,Moscow,-1013.7798414073533,91.29173572868386,[198. 242.],220.0,[156000. 182000.],169000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
62,1.625,-865.6225301455434,3.0,Moscow,-973.7992658742272,108.17673572868385,[242. 286.],264.0,[156000. 182000.],169000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
63,2.25,-1580.8445508793236,3.0,Moscow,-1591.9325366080075,11.08798572868385,[ 0. 22.],11.0,[182000. 286000.],234000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
64,2.25,-1563.6807715222064,3.0,Moscow,-1583.2112572508902,19.53048572868385,[22. 44.],33.0,[182000. 286000.],234000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
65,2.25,-1533.8631308174058,3.0,Moscow,-1561.8361165460897,27.972985728683852,[44. 66.],55.0,[182000. 286000.],234000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
66,2.25,-1505.6503770136683,3.0,Moscow,-1542.0658627423522,36.41548572868385,[66. 88.],77.0,[182000. 286000.],234000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
67,2.25,-1479.0088706373556,3.0,Moscow,-1523.8668563660394,44.85798572868385,[ 88. 110.],99.0,[182000. 286000.],234000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
68,2.25,-1441.342154646096,3.0,Moscow,-1498.8638903747799,57.52173572868385,[110. 154.],132.0,[182000. 286000.],234000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
